Price,Brand,Processor Base Frequency,Processor Max Frequency,Processor Brand,Processor Model,Generation,Processor Core,Processor Thread,CPU Cache,Chipset Model,Display Size,Display Type,Display Resolution,Touch Screen,Display Features,RAM,RAM Type,Total RAM Slot,Max RAM Capacity,Storage Type,Storage Capacity,Extra M.2 Slot,Graphics Model,Graphics Memory,Keyboard Type,TouchPad,WebCam,Speaker,Microphone,Optical Drive,Card Reader,VGA/D-Sub,HDMI Port,USB 3 Port,USB Type-C / Thunderbolt Port,Headphone & Microphone Port,LAN,WiFi,Bluetooth,Fingerprint Sensor,Security Locker Slot,Security Chip,Operating System,Battery Type,Battery Capacity,Adapter Type,Color,Dimensions,Weight,Warranty Details,Refresh Rate,Bus Speed,Graphics Type,Audio Features,Display Port,Camera Privacy Shutter,Other Features,Supported SSD Type,Mini HDMI Port,USB 2 Port,Processor,Display,Memory,Storage,Graphics,Chipset,Battery,Adapter,Audio,Keyboard,Wi-Fi,USB (s),HDMI,Dimensions (W x D x H),Color(s),Manufacturing Warranty,Removable,HDD RPM,Storage Upgrade,Body Material,Keyboard Features,Backup Time (Approx),Response TIme
38520,Lenovo,1.1,2.8,Intel,Celeron N4020,NULL,2,2,4MB,Intel SoC Platform Chipset,15.6,NULL,HD (1366×768),No,TN 220nits Anti-glare,1 x 4GB Onboard,Soldered DDR4-2400,NULL,NULL,SATA HDD,1TB,1,Integrated Intel UHD Graphics 600,Shared,Standard,Yes,720p with Privacy Shutter,Yes,Yes,NULL,4-in-1 Card Reader,NULL,1x HDMI 1.4b,2x USB 3.2 Gen 1,NULL,1x Headphone/microphone combo jack (3.5mm),No,"11ac, 2×2",Bluetooth 5.0,No,NULL,Firmware TPM 2.0,Windows 11 Home 64,Integrated,35Wh,"45W Round Tip (2-pin, Wall-mount)",Platinum Grey,362.2 x 253.4 x 19.9mm,1.7 kg (3.75 lbs),2 years,NULL,2400Mhz,NULL,"High Definition (HD) Audio
Stereo speakers, 1.5W x2, Dolby Audio
2x, Array Microphone",NULL,NULL,NULL,M.2 NVME,NULL,1x USB 2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,5400rpm 2.5″,"Additional SSD Can be added, and HDD can be replaced",PC + ABS (Top & Bottom),NULL,NULL,NULL
38500,Lenovo,1.1,2.8,Intel,Celeron Processor N4020,NULL,2,2,4MB,NULL,15.6,NULL,FHD (1920×1080),No,TN 220nits Anti-glare,4GB,DDR4,1,NULL,M.2 2242 PCIe 3.0x4 NVMe SSD,256GB SSD,Yes,Integrated Intel UHD Graphics 600,Shared,"Non-backlit, English (EU)",Yes,720p Webcam,1.5W x2 Stereo,2x Array,N/A,1x Card reader,NULL,1x HDMI 1.4b,2x USB 3.2 Gen 1,NULL,1x Headphone / microphone combo jack (3.5mm),N/A,"Wireless 11ac, 2×2",Bluetooth 5.0,No,NULL,FW TPM 2.0,FreeDOS,NULL,45Wh,"45W Round Tip (2-pin, Wall-mount)",Platinum Grey,362.2 x 253.4 x 19.9 mm (14.26 x 9.98 x 0.78 inches),Around 1.7 kg (3.75 lbs),2 years International Limited Warranty (Battery 1 year).,NULL,NULL,NULL,Dolby Audio,NULL,Yes,NULL,"M.2 2242 SSD up to 512GB
M.2 2280 SSD up to 512GB""",NULL,1x USB 2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,"2.5"""" HDD up to 1TB","PC-ABS (Top), PC-ABS (Bottom)",NULL,NULL,NULL
43400,Asus,1.1,2.8,Intel,Celeron Processor N4020,NULL,2,2,4MB,NULL,15.6,NULL,HD (1366 x 768),No,"Brightness: 200nits, Aspect Ratio: 16:9, Color gamut: 45% NTSC, LED Backlit",4GB,DDR4,1,NULL,HDD,1TB,Yes,Intel UHD Graphics 600,Shared,Backlit Chiclet Keyboard with Num-key,Yes,VGA Webcam,SonicMaster Built-in speaker,Built-in microphone,N/A,NULL,NULL,1x HDMI 1.4,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5(802.11ac),Bluetooth 4.1 (Dual band) 1*1,Yes,NULL,Firmware TPM,Windows 11 Home,2-cell Li-ion (2S1P),37WHrs,"ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal",Slate Grey,36.02 x 23.49 x 1.99 ~ 1.99 cm,1.80 kg,2 years International Limited Warranty (Battery 1 year).,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M.2 NVMe,NULL,2 x USB 2.0 Type-A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5400RPM,"Additional SSD Can be added, and HDD can be replaced",NULL,NULL,NULL,NULL
46550,Toshiba,2.1,4.1,Intel,Core i3,10th Gen,2,4,4MB,NULL,14,NULL,"HD (1,366 x 768)",No,"16:9 LED Backlit, Non-reflective Anti-Glare",8GB,DDR4,2,Up to 16GB,M.2 SATA SSD,256GB,N/A,Intel UHD Graphics,Shared,Frameless black tile keyboard,ClickPad,HD,Stereo speakers,Dual Mic,N/A,1 × micro SD card slot,NULL,1 × HDMI-out (including 4K support),2 × USB 3.1,"1 × USB 3.1 Type-C Gen 1 port which supports Data transfer, Power Delivery and Display Port",NULL,Gigabit Ethernet LAN (10BASE-T/100BASE-TX/1000BASE-T),"802.11ac, agn (Dual Band) AC CM251",Bluetooth 5.0,N/A,Yes,Firmware Trusted Platform Module (fTPM),Free Dos,2 cell lithium-ion,45.6WHR,45W,Dark Blue,328 x 224.8 x 18.9 mm,1.55 kg,2 Years,NULL,3200MHz,NULL,NULL,NULL,NULL,"Anti-bacterial paint coating, Japanese Industrial Standard Z 2801:2010 tested",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45650,Asus,1.1,2.8,Intel,Celeron N4500 Processor,NULL,2,2,4MB,NULL,15.6,NULL,HD (1366 x 768),No,Aspect ratio 16:9,4GB,DDR4,1,8GB,"SATA  2.5"" HDD",1TB,Yes,Intel UHD Graphics 600,Shared,Chiclet Keyboard,Yes,VGA Webcam,"SonicMaster
Built-in speaker",Built-in microphone,N/A,NULL,NULL,1x HDMI 1.4,2x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5(802.11ac),Bluetooth 4.1 (Dual band) 1*1,N/A,NULL,FTPM,Windows 11 Home,"2S1P, 2-cell Li-ion",37WHrs,NULL,Transparent Silver (BQ635T-X515MA),NULL,1.80 kg,02 years International Limited Warranty (Battery 1 year),NULL,NULL,NULL,NULL,N/A,NULL,NULL,M.2 NVMe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,5400RPM,"Additional SSD Can be added, and HDD can be replaced",NULL,NULL,NULL,NULL
46200,Asus,1.1,2.8,Intel,Celeron N4500 Processor,NULL,2,2,4MB,NULL,15.6,NULL,HD (1366 x 768),No,Aspect ratio 16:9,4GB,DDR4,NULL,NULL,"2.5"" HDD",1TB,Yes,Intel UHD Graphics 600,Shared,Chiclet Keyboard,Yes,VGA Webcam,"SonicMaster
Built-in speaker",Built-in microphone,N/A,NULL,NULL,1x HDMI 1.4,"2 x USB 2.0 Type-A
1 x USB 3.2 Gen 1 Type-A",1 x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5(802.11ac),Bluetooth 4.1 (Dual band) 1*1,N/A,NULL,FTPM,Windows 11 Home,"2S1P, 2-cell Li-ion",37WHrs,"ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal","Transparent Silver (BR105W-X515KA)
Slate Gray (BR104W-X515KA)",NULL,1.80 kg,02 years International Limited Warranty (Battery 1 year),NULL,NULL,NULL,NULL,NULL,NULL,NULL,M.2 NVMe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5400RPM,NULL,NULL,NULL,NULL,NULL
46200,Asus,1.1,2.8,Intel,Celeron N4500 Processor,NULL,2,2,4MB,NULL,15.6,NULL,HD (1366 x 768),No,Aspect ratio 16:9,4GB,DDR4,NULL,NULL,"2.5"" HDD",1TB,Yes,Intel UHD Graphics,Shared,Chiclet Keyboard,Yes,VGA Webcam,"SonicMaster
Built-in speaker",Built-in microphone,N/A,NULL,NULL,1x HDMI 1.4,1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5(802.11ac),Bluetooth 4.1 (Dual band) 1*1,N/A,NULL,FTPM,Windows 11 Home,"2S1P, 2-cell Li-ion",37WHrs,"ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal","Slate Grey (EJ149W-X515KA)
Transparent Silver (EJ150W-X515KA)",NULL,1.80 kg,02 years International Limited Warranty (Battery 1 year),NULL,NULL,NULL,NULL,NULL,NULL,NULL,M.2 NVMe,NULL,2 x USB 2.0 Type-A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5400RPM,NULL,NULL,NULL,NULL,NULL
48280,Asus,1.1,2.8,Intel,Celeron Dual,NULL,2,2,4MB,NULL,15.6,NULL,FHD (1920 x 1080),No,"16:9,Anti-glare display, LED Backlit,200nits,NTSC: 45%,Screen-to-body ratio: 84 ％",4GB (Onboard),DDR4,NULL,NULL,PCIe G3 SSD,512GB,N/A,Intel UHD Graphics 600,Shared,Backlit keyboard,Yes,VGA Camera,Yes,Yes,N/A,1 x Micro SD card reader,NULL,1x HDMI 1.4,1x USB 3.2 Gen 1 Type-A,1x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5 (802.11ac),Bluetooth 4.2,Yes,NULL,N/A,Windows 11 Home,"3 Cell, Li-ion Battery",42 Whr,33W AC Adapter,Star Black,360.2 x 236.4 x 18.1 - 18.1mm,1.57 kg,2 years International Limited Warranty (Battery 1 year),NULL,NULL,NULL,NULL,N/A,NULL,NULL,PCIe G3,NULL,"1x USB 2.0 Type-A
2x USB 2.0 Type-A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47740,Asus,1.1,2.8,Intel,Celeron Processor N4020,NULL,2,2,4MB,NULL,14,LED,HD (1366X768),No,NULL,4GB(onboard),DDR4,1,NULL,PCIEG3 SSD,256GB,N/A,Integrated Intel UHD,Shared,Illuminated Keyboard,Yes,VGA,Yes,yes,N/A,1 x Micro SD,NULL,1x HDMI 1.4,1x USB 3.2 Gen 1 Type-A,1x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,NULL,Wi-Fi 5 (802.11ac),Bluetooth 4.1,N/A,NULL,NULL,Windows 11,2 -Cell,37 Wh,33Watt AC,PEACOCK BLUE,32.54 x 21.60 x 1.99 ~ 1.99 cm,1.60 kg (3.53 lbs),02 years International Limited Warranty (Battery 1 year),NULL,2666MHz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2x USB 2.0 Type-A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,Installed SSD can be upgradeable,NULL,Numpad,NULL,NULL
48830,Acer,3.0,4.1,Intel,Core i3,11th Gen,2,4,6MB,NULL,15.6,NULL,Full HD 1920 x 1080,No,High-brightness Acer ComfyView LED-backlit TFT LCD,4GB,DDR4,2,Up to 12GB,2.5 inch HDD,1TB,Yes,Intel UHD Graphics,Shared,Standard numeric keypad,Yes,"Front Camera/Webcam Resolution: 0.3 Megapixel, Front Camera/Webcam
Acer webcam with 640 x 480 resolution",2 x Stereo Speaker,Yes,N/A,NULL,NULL,1 X HDMI,1 x USB 3.2 Port,NULL,Audio Jack Combo,N/A,Intel Wireless-AC 9461; IEEE 802.11ac/a/b/g/n,Bluetooth 5.0,N/A,NULL,N/A,Free DOS,2-cell Li-ion battery,36.7 Wh,45 W AC power adapter,Black,363.4 x 250.5 x 19.90mm,1.90Kg,2 years warranty (01 year Battery & Adapter),NULL,NULL,NULL,NULL,N/A,NULL,NULL,M.2 SATA / M.2 NVMe,NULL,2 x USB 2.0 Port;,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5400RPM,NULL,NULL,"100-/101-/104- key FineTip keyboard with independent standard numeric keypad, international language support, power button",NULL,NULL
