Price,Brand,Processor Brand,Processor Model,Generation,Processor Base Frequency,Processor Max Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Storage Capacity,Display Size,Graphics Memory,Battery Capacity
97430,Asus,AMD,Ryzen 5,4th Gen,3,4,6,12,8,8GB,DDR4,512GB,15.6,4GB,48
98520,HP,Intel,Core i5,12th Gen,2.4,4.2,10,12,12,8GB,DDR4,512GB,14,Shared,41
98520,HP,Intel,Core i5,12th Gen,2.4,4.2,10,12,12,8GB,DDR4,512GB,15.6,Integrated,51
98740,Asus,Intel,Core i5,10th Gen,2.5,4.5,4,8,8,8GB,DDR4,512GB,15.6,4GB,48
95500,HP,AMD,Ryzen 5,5th Gen,NULL,NULL,6,12,16,8GB,DDR4,512GB,15.6,Shared,45
99820,HP,Intel,Core i5,12th Gen,2.5,4.5,12,16,12,8 GB,DDR4,512 GB,15.6,Shared,41
100690,HP,Intel,Core i5,12th Gen,1.7,4.7,12,16,12,8 GB,DDR4,512 GB,15.6,Shared,41
141900,HP,Intel,Core i7,12th Gen,1.7,4.7,10,12,12,8GB,DDR4,512GB,14,Shared,41
99000,Acer,AMD,Ryzen 5,7th Gen,2,2,6,12,16,8GB,DDR4,512GB,14,Shared,50
100410,Asus,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB ,DDR4,512GB,15.6,2GB,42
102530,Asus,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,2GB,50
100466,ASUS,AMD,Ryzen 7,5th Gen,20M,4.4,4,16,16,8GB ,DDR4,512GB,15.6,Shared,63
99820,Dell,Intel,Core i7,12th Gen,2.8,4.7,10,12,12,8GB ,DDR4,512GB,15.6,Shared,54
103940,ASUS,Intel,Core i7,11th Gen,2.8,4.7,4,8,12,8GB ,DDR4,512GB,15.6,Shared,37
